call_id,caller_id,caller_number,callee_id,callee_number,timestamp,duration_seconds,call_type,cell_tower_city
CDR00001,SUS0057,+91-9829223044,SUS0065,+91-9488896443,2026-08-21 06:57:30,1248,Voice,Kanpur
CDR00002,SUS0100,+91-9562446417,SUS0104,+91-9417001612,2026-08-03 21:52:15,353,SMS,Amritsar
CDR00003,SUS0146,+91-9969533218,SUS0021,+91-9807577342,2026-01-12 21:43:00,1594,Voice,Kanpur
CDR00004,SUS0126,+91-9609241268,SUS0095,+91-9235555899,2026-07-15 18:43:30,1277,Voice,Pune
CDR00005,SUS0135,+91-9219066986,SUS0021,+91-9807577342,2026-01-07 17:03:00,325,Data,Mumbai
CDR00006,SUS0030,+91-9907308348,SUS0110,+91-9963919401,2026-04-28 14:59:30,1461,SMS,Indore
CDR00007,SUS0053,+91-9679984033,SUS0136,+91-9158821683,2026-02-08 03:01:15,1423,Data,Lucknow
CDR00008,SUS0096,+91-9540211187,SUS0081,+91-9987588450,2026-02-12 01:09:15,1005,Data,Chandigarh
CDR00009,SUS0040,+91-9399147754,SUS0082,+91-9851333320,2026-07-21 23:25:00,773,SMS,Patna
CDR00010,SUS0139,+91-9534900128,SUS0113,+91-9426808977,2026-01-25 06:08:45,1162,SMS,Indore
CDR00011,SUS0071,+91-9587205269,SUS0137,+91-9288650860,2026-08-03 02:32:30,1523,Voice,Bhopal
CDR00012,SUS0072,+91-9893070706,SUS0012,+91-9739830322,2026-02-01 15:54:30,1607,SMS,Pune
CDR00013,SUS0098,+91-9138546365,SUS0066,+91-9677858758,2026-01-03 04:46:15,652,Voice,Ahmedabad
CDR00014,SUS0064,+91-9810303128,SUS0081,+91-9987588450,2026-03-09 14:14:15,1587,SMS,Ranchi
CDR00015,SUS0054,+91-9600282414,SUS0040,+91-9399147754,2026-04-04 04:22:30,758,Voice,Ranchi
CDR00016,SUS0127,+91-9729712082,SUS0108,+91-9679184667,2026-03-22 01:41:00,1607,Voice,Ahmedabad
CDR00017,SUS0028,+91-9711684318,SUS0108,+91-9679184667,2026-04-20 10:57:30,1381,Voice,Nagpur
