suspect_id,name,age,gender,city,gang_affiliation,role_in_network,primary_crime_type,risk_level,phone_number,prior_cases_count,degree,weighted_degree,clustering_coeff,betweenness,eigenvector_centrality,community_id,call_count,total_sent_inr,total_received_inr,flagged_txn_count,fir_count,suspicious_post_count
SUS0001,Priya Singh,20,M,Patna,GANG05,Courier,Extortion,High,+91-9826600539,5,8,35,0.35714285714285715,0.02033936097838269,0.1079355221443404,1,24,2026645.43,4150160.19,7.0,6.0,2.0
SUS0002,Suresh Patel,21,M,Delhi,GANG02,Courier,Drug Trafficking,Medium,+91-9868820204,5,5,33,0.7,0.0013615785478341723,0.010477182104062316,7,18,1488183.9400000002,846389.23,4.0,5.0,3.0
SUS0003,Sameer Chauhan,47,M,Surat,GANG05,Informant,Drug Trafficking,High,+91-9271432881,5,5,22,0.4,0.009283606066306467,0.07210080045326163,1,24,2065387.02,902448.65,5.0,3.0,2.0
SUS0004,Manoj Kumar,32,M,Ranchi,GANG06,Financier,Kidnapping,Low,+91-9469319644,4,6,23,0.6666666666666666,0.0002809516378595326,0.10600392817618788,6,28,55514.240000000005,1114818.28,2.0,3.0,5.0
SUS0005,Rahul Shah,53,M,Mumbai,GANG07,Financier,Arms Smuggling,High,+91-9764130526,6,6,20,0.5333333333333333,0.0026062860181474733,0.040445666403523706,11,26,1041955.7000000001,1614105.5699999998,2.0,2.0,1.0
SUS0006,Arjun Yadav,21,M,Nagpur,GANG04,Informant,Cyber Fraud,High,+91-9208449460,3,6,20,0.5333333333333333,0.006854383938455804,0.16313593888787406,5,30,506307.0,1555608.1300000001,4.0,4.0,0.0
SUS0007,Priya Nair,29,F,Kanpur,GANG06,Courier,Arms Smuggling,High,+91-9833953718,5,8,33,0.6785714285714286,0.0010717519697562414,0.13667756224714755,6,28,258017.69,1409584.08,5.0,2.0,0.0
SUS0008,Priya Mehta,53,M,Patna,GANG04,Courier,Kidnapping,Low,+91-9787194506,5,8,30,0.5,0.003412875033877699,0.1930869775782331,5,28,984306.6,1142780.77,3.0,3.0,3.0
SUS0009,Neha Reddy,22,M,Jaipur,GANG01,Informant,Kidnapping,Low,+91-9326541099,4,3,12,1.0,0.0,0.021934591434676038,4,18,202607.43,1406355.6400000001,4.0,7.0,3.0
SUS0010,Karan Gupta,50,M,Bhopal,GANG11,Enforcer,Arms Smuggling,Low,+91-9899925830,4,8,28,0.2857142857142857,0.014493144285644088,0.030856625632831286,9,24,820177.2,433967.48,3.0,4.0,3.0
SUS0011,Pooja Patel,44,F,Kanpur,GANG04,Unknown,Extortion,Medium,+91-9197613238,6,8,31,0.35714285714285715,0.02121662540962439,0.1745941915768224,5,30,2061951.46,1293625.07,4.0,5.0,1.0
SUS0012,Vikram Kumar,29,M,Ranchi,GANG11,Enforcer,Cyber Fraud,Medium,+91-9739830322,3,7,31,0.09523809523809523,0.0464895823232316,0.01955645843233567,9,22,3737159.75,2360449.17,8.0,6.0,4.0
